Id,PersonenGruppe,Produkt1,Produkt2,Produkt3,Produkt4,Produkt5,Produkt6,Produkt7,Produkt8,Produkt9,Produkt10,Produkt11
1,2,1,1,1,0,0,0,0,0,1,0,0
2,2,1,0,0,0,1,0,0,0,0,0,1
3,2,0,1,0,0,0,0,0,1,1,1,0
4,1,0,1,0,0,0,0,0,0,0,0,0
5,3,0,0,0,1,0,0,0,1,0,0,0
6,3,1,0,0,0,0,0,1,0,1,1,1
7,1,0,0,1,0,0,0,1,1,0,1,0
8,2,0,0,0,0,1,0,1,0,1,0,0
9,1,0,0,1,1,0,0,0,0,0,0,0
10,3,0,1,0,0,1,0,0,0,0,0,1
11,1,1,0,0,0,0,0,0,0,0,1,0
12,2,1,0,0,1,0,0,0,0,0,0,0
13,1,1,1,1,0,0,0,0,0,0,1,0
14,1,0,0,0,0,0,0,0,0,0,1,0
15,2,0,0,0,0,0,0,0,0,1,0,1
16,3,0,1,0,0,0,0,0,0,0,0,0
17,3,0,0,0,1,0,0,1,0,1,0,0
18,2,0,0,1,1,0,0,0,1,0,0,1
19,1,0,0,1,0,1,0,0,0,0,1,0
20,3,0,0,0,0,0,1,0,0,0,0,1
21,3,0,0,1,1,0,0,1,1,0,0,0
22,3,1,1,0,1,1,0,0,0,0,1,0
23,3,1,0,0,0,0,0,0,0,1,0,0
24,3,0,0,0,0,1,0,0,0,1,0,0
25,2,1,1,0,0,1,0,0,0,0,1,1
27,2,0,1,1,0,0,0,1,0,0,1,0
28,2,0,1,0,0,0,0,1,0,0,0,0
29,1,0,0,1,0,0,0,0,0,0,1,0
30,2,0,1,0,0,0,0,0,0,1,1,0
31,2,1,0,0,0,0,0,0,0,0,0,1
33,1,0,0,0,0,0,0,0,0,0,1,0
34,2,0,0,0,0,0,0,0,0,0,0,1
35,1,0,1,0,0,1,0,0,0,0,1,1
36,2,1,1,0,0,1,0,0,1,0,0,0
37,1,0,1,0,0,0,0,0,0,0,1,0
38,1,0,1,1,0,0,1,0,0,0,0,1
39,2,0,0,1,0,0,0,1,1,0,0,1
40,3,0,0,0,0,1,0,1,0,1,0,0
41,2,0,0,0,0,0,0,0,1,1,0,1
42,1,0,0,0,1,1,0,0,0,1,0,0
43,3,0,0,0,0,0,0,0,1,1,0,0
44,2,0,0,1,0,0,0,0,0,0,1,0
45,1,0,0,0,0,0,0,1,0,1,0,0
46,2,0,1,1,0,0,0,0,0,1,0,0
47,1,1,0,0,1,1,1,0,0,0,0,0
48,1,0,1,0,0,0,0,0,0,0,0,0
49,1,0,1,0,0,1,0,1,0,0,0,0
50,2,1,0,1,0,0,0,0,0,0,0,1
51,1,0,0,0,0,0,0,1,0,0,0,0
52,1,0,1,0,0,0,0,0,0,0,0,0
53,2,0,0,0,1,0,0,1,0,1,0,0
54,2,1,1,0,0,0,0,0,0,0,1,0
55,3,0,1,0,0,1,0,0,0,0,1,0
56,3,1,0,0,0,0,0,0,0,1,1,0
57,3,1,0,0,0,0,0,0,1,0,1,0
58,3,0,1,0,0,1,0,0,0,1,0,0
59,1,0,1,0,0,0,0,0,0,0,0,0
60,1,0,0,1,0,0,0,0,0,1,0,0
62,2,1,0,0,0,1,0,0,1,1,0,0
63,2,1,0,1,1,0,0,0,0,0,1,0
64,3,0,0,0,0,0,1,0,1,0,1,0
65,1,0,0,0,0,0,0,0,0,0,1,1
67,2,0,0,1,0,0,0,0,0,0,1,0
70,3,1,0,0,0,0,0,0,0,0,0,0
71,2,0,0,0,0,0,1,0,0,0,0,0
72,3,0,1,0,0,0,0,0,0,0,0,0
74,1,0,0,0,0,0,1,0,1,0,0,0
75,2,0,1,0,0,1,0,0,1,1,1,0
76,3,0,0,1,0,0,1,0,1,1,1,1
77,2,0,0,1,1,0,1,0,0,0,1,0
78,1,0,1,0,0,0,0,0,0,0,0,0
79,2,0,0,0,1,1,0,0,0,1,0,0
80,3,0,0,1,1,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0,1,0,0
82,2,0,1,0,0,0,0,1,0,1,0,0
83,2,1,0,0,0,1,0,0,0,0,1,0
84,3,0,0,1,0,0,0,1,0,1,0,0
85,1,0,0,0,0,1,0,0,0,0,0,0
87,2,0,1,0,0,0,0,0,0,0,0,0
88,1,0,0,0,0,1,0,0,0,1,1,0
89,1,0,0,0,0,0,0,0,0,1,0,0
90,3,0,0,1,0,0,0,1,0,1,1,1
91,2,0,0,1,0,0,0,0,0,0,1,0
93,3,0,0,0,0,0,1,0,1,0,0,0
94,1,0,0,1,0,0,0,0,0,0,0,0
95,1,0,1,0,0,0,0,0,1,0,0,0
96,2,0,0,0,0,1,0,0,1,1,1,0
98,2,1,0,0,0,0,0,0,1,1,0,0
99,1,0,0,0,0,0,0,0,1,1,0,0
100,2,0,1,0,0,0,0,0,0,0,0,0
101,2,1,0,0,0,0,1,1,0,0,0,1
102,2,1,0,0,0,0,0,0,0,0,0,0
103,1,0,1,0,0,0,0,0,0,0,0,0
104,3,0,0,1,0,0,0,1,0,0,0,0
106,3,0,0,0,0,0,0,0,0,1,1,1
108,3,0,0,0,0,0,0,1,0,1,0,0
110,3,1,0,0,0,1,1,0,0,1,1,0
111,3,1,0,0,1,1,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,1,0,0
113,3,0,1,1,0,0,0,0,0,0,0,1
114,3,0,0,0,0,0,0,0,1,0,0,0
115,2,1,1,1,0,0,0,1,0,0,1,0
116,1,0,0,1,0,0,1,1,0,0,0,0
117,1,0,0,0,0,0,0,1,0,0,1,0
118,2,0,1,0,0,0,0,0,0,1,0,0
119,3,1,0,0,0,0,1,0,1,0,1,1
120,1,0,0,0,1,0,0,0,1,0,1,0
121,1,1,0,0,0,1,1,0,1,0,1,0
122,1,0,0,0,0,0,0,1,0,0,0,0
123,3,0,0,0,0,0,0,0,0,0,0,1
124,3,1,1,1,0,0,0,1,0,1,0,0
125,3,1,0,1,1,1,0,0,0,0,0,1
126,1,1,1,1,0,0,0,0,1,1,0,0
127,2,1,1,0,0,1,0,1,0,0,0,0
128,2,1,1,0,0,0,0,0,0,1,0,0
129,3,0,0,0,0,0,1,0,1,0,1,0
130,2,0,0,1,1,0,1,0,0,1,1,0
131,2,1,0,0,1,0,0,0,0,0,0,1
132,2,0,1,0,0,0,0,0,0,0,0,0
133,1,0,0,1,0,0,0,0,0,0,1,0
134,3,1,0,0,0,1,0,1,0,0,1,0
135,2,0,0,1,0,1,1,0,0,1,1,0
